"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB51446",208,516,113,875,1198,433,19,18,103,39,9,142,3.49890190197915,3.96555352970952,5.56722274265776,7.24701906314328e-05,0.721368277545283,-3.87504411794435
"2","GB40493",24,24,63,31,34,58,46,50,171,22,101,102,-1.014018709628,2.66818406223857,-2.64490101027764,0.0193707367427467,0.999966340168494,-4.33843299431343
"3","GB42229",3,4,4,4,23,4,11,14,24,6,8,11,-1.05245550246443,0.0614326824332102,-2.86164060985634,0.0126799332710926,0.999966340168494,-4.47473872774028
"4","GB42642",1,15,15,6,3,5,27,34,22,3,38,10,-1.73931451641933,0.391384052620039,-2.66635508257288,0.0185789555094372,0.999966340168494,-4.47739351640677
"5","GB42729",22,10,13,41,40,25,10,9,15,13,10,27,0.805050824782248,1.16143414845807,2.38538885015344,0.0319333415648769,0.999966340168494,-4.46698197028682
"6","GB42768",57,65,20,70,62,52,22,19,32,20,9,77,1.02603824672179,2.17709203019408,2.66688304498587,0.0185598718573876,0.999966340168494,-4.37516468220771
"7","GB42965",52,43,35,53,81,106,84,95,168,27,70,93,-0.52769956249759,3.11353254701119,-2.49577514944533,0.0258481779908003,0.999966340168494,-4.32519667441762
"8","GB43513",9,12,33,39,26,15,5,14,11,1,10,18,1.17543982940964,0.696609113724984,2.54231099062992,0.0236306356141844,0.999966340168494,-4.47392599545573
"9","GB43930",16,7,16,17,29,29,12,11,12,3,14,12,0.765765560230026,0.783212124292186,2.58392712379931,0.021803533611396,0.999966340168494,-4.46550290760594
"10","GB44002",152,196,128,122,176,163,70,203,148,32,77,107,0.63600857463175,3.92393802049819,2.53962082353735,0.0237536854779397,0.999966340168494,-4.24191709785018
"11","GB45174",4007,5136,3782,5801,6359,6938,2964,4303,5091,2483,2744,5277,0.474278856105537,9.12084972075301,2.65291936418961,0.0190710569300102,0.999966340168494,-4.29710710465294
"12","GB45494",22,11,18,26,38,36,13,20,28,7,12,19,0.563740932107206,1.29822579969094,2.47372698595355,0.0269672769380952,0.999966340168494,-4.45091348766306
"13","GB46096",1,1,2,10,51,16,70,17,69,8,18,15,-1.90414951976848,0.636815351994111,-2.63649135158155,0.0196899423582316,0.999966340168494,-4.47226392498732
"14","GB46276",198,239,90,166,292,64,26,0,77,73,6,241,2.86678739263866,2.90229073062701,2.68797011816792,0.0178130255502634,0.999966340168494,-4.34009304025232
"15","GB46444",176,81,95,102,266,292,196,285,414,69,323,303,-0.687617960499076,4.57336279177567,-2.529397321644,0.0242269610344028,0.999966340168494,-4.19416212770361
"16","GB46612",95,197,159,115,366,206,312,329,287,231,152,609,-0.807057836457071,4.84550659929168,-2.61130811963095,0.0206765762377909,0.999966340168494,-4.15875037885255
"17","GB46678",61,43,117,100,145,89,299,552,125,56,134,197,-1.11906668687122,3.98289045225874,-2.85359014289154,0.0128820326333842,0.999966340168494,-4.16480515296514
