"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB53427",378,534,698,916,252,1039,154,166,220,273,313,363,1.13940313623722,5.55274618109552,7.53840760734689,2.85628983422509e-06,0.0142157545049383,4.42727312382129
"2","GB54097",8045,5661,7942,2783,3178,9936,1301,472,843,609,987,989,2.67546680877943,8.10329416486264,7.9925468870876,1.46239307934252e-06,0.0142157545049383,4.50873534079504
"3","GB40148",2457,2838,2175,1706,1370,3674,512,395,380,464,516,1502,1.94591882521488,7.15295816661223,6.68455755093608,1.08029426812991e-05,0.0242709517502284,3.21036660817916
"4","GB41772",1784,1531,2441,2971,1050,2898,2659,2391,3668,4117,4204,3854,-0.889981723044036,8.374796443856,-6.49823135153084,1.4629868444984e-05,0.0242709517502284,2.81579918177709
"5","GB49441",1175,1642,1808,795,556,1755,299,310,139,259,211,438,2.0847494681373,6.14769069298159,6.88710224552813,7.81089918374453e-06,0.0242709517502284,3.55746318251377
"6","GB51583",4056,961,3802,1239,1608,3670,348,41,161,183,315,464,3.34364755196287,6.39838683180161,6.55916493172063,1.3241739746202e-05,0.0242709517502284,3.06460852061402
"7","GB41361",1740,434,1855,235,667,885,141,60,68,44,44,85,3.49252538157601,4.86311254691723,6.0379643398791,3.15829717883381e-05,0.0449109858830168,2.26561544176105
"8","GB44871",1574,1045,1185,469,791,1777,314,97,129,173,342,415,2.20181819816759,5.91894488941354,5.75317133581085,5.15981837755869e-05,0.0593729726097892,2.0152292641234
"9","GB45248",1757,1552,1790,1733,677,3353,737,399,783,721,1045,702,1.09878221202394,7.10101610968492,5.67029075495779,5.96473504217292e-05,0.0593729726097892,1.84286423834724
"10","GB52191",1534,1034,1783,925,537,1391,396,414,430,388,330,526,1.33753885280318,6.43667287691298,5.69188471937748,5.74312839830193e-05,0.0593729726097892,1.92283072507259
"11","GB45696",449,235,319,172,146,923,73,26,76,71,109,76,2.06059885970653,4.18770568443789,5.44433502491398,8.89842439058877e-05,0.0738124303199338,1.46567212060049
"12","GB50506",253,330,525,686,133,586,481,696,696,917,684,741,-1.04000149387162,6.00447088548094,-5.44551542311098,8.87968808044746e-05,0.0738124303199338,1.57765401030224
"13","GB42409",207,105,420,128,47,455,33,19,15,65,18,41,2.54688724758724,3.15435422697413,5.31840824360545,0.00011154257953612,0.0774223776538987,1.05939036901805
"14","GB49442",165,163,136,100,53,167,48,52,20,30,30,45,1.6786077624606,3.08549484290766,5.30238169301258,0.000114814268983942,0.0774223776538987,1.07987788763111
"15","GB51979",516,572,1069,1350,274,1520,1205,856,1556,1508,1655,1881,-1.03728638849758,7.03383431135604,-5.29350011249663,0.000116670249629142,0.0774223776538987,1.28702028430379
"16","GB42607",672,1447,1564,1057,362,1341,315,302,385,562,666,383,1.08279290332728,6.33850777503611,5.23868566388044,0.000128837656918001,0.0801531273101112,1.24434517713654
"17","GB41222",229,93,169,173,103,380,40,27,32,60,121,65,1.58407027128897,3.57557709090169,5.09469014518252,0.000167510871515347,0.092633511947987,0.885065088359348
"18","GB54209",386,270,389,259,164,355,169,95,97,150,113,139,1.13950599576775,4.60804586143943,5.10130561368877,0.000165493018228641,0.092633511947987,1.02914820523334
"19","GB42410",5212,3535,3381,569,997,4400,371,173,687,586,161,279,2.74166896745613,6.79376851092293,4.9129677611684,0.000234196495848745,0.111009139032305,0.702712425673632
"20","GB42621",6349,2477,6161,1659,3821,18040,674,456,1236,930,1790,1574,2.16780615379871,8.11769007825095,4.9136290067995,0.000233909309589733,0.111009139032305,0.637140355722663
"21","GB50418",103,105,202,199,66,314,40,53,77,80,102,76,0.985643843046611,3.67348876136665,4.91389774187794,0.00023379269932542,0.111009139032305,0.651130836545009
"22","GB41708",3438,475,3216,326,1712,2268,226,175,223,191,181,250,2.6943865705529,6.08807010222421,4.82285891377514,0.00027696124479476,0.119864010029871,0.57277241877892
"23","GB41710",2281,224,1450,129,956,3875,99,57,29,41,41,65,4.01825211992894,4.73694666839027,4.82582985356288,0.00027542953560706,0.119864010029871,0.470149970819585
"24","GB43738",379,551,838,673,230,901,743,891,1582,1761,885,898,-1.10963785025142,6.59879946954924,-4.77468378572504,0.000303067433976029,0.125697218241558,0.496037904963886
"25","GB49440",148,297,222,198,52,251,48,54,62,63,132,100,1.16148078674722,3.83013994061984,4.72880021723519,0.000330302872071509,0.131513391543992,0.376547963628179
"26","GB53672",397,370,630,713,298,891,444,892,890,1215,978,1131,-0.90412390921341,6.42323125224062,-4.69667879195845,0.000350865819425109,0.134327629482982,0.375817623194685
"27","GB41227",2024,2044,3189,3237,1218,3692,2396,2624,3196,4069,4202,4096,-0.588039861370396,8.50203555650928,-4.59964628748359,0.000421398289529787,0.155355502739982,0.135971863815629
"28","GB48820",9246,3570,9091,1971,3034,5382,1715,1278,680,634,794,1526,2.07296396658437,8.11796753635779,4.57718569799289,0.000439718074174766,0.156319775369129,0.114308190425658
"29","GB41243",90,111,146,155,70,134,150,148,126,165,224,179,-0.642235298641054,4.12292913942365,-4.37791339310399,0.000642993889283455,0.220702109445776,-0.15894576081732
"30","GB50195",490,570,749,722,321,1167,285,219,396,419,556,482,0.615419708263715,5.9466912366045,4.31639410178908,0.000723644093690444,0.236378019257682,-0.249221155246391
"31","GB52087",168,601,599,347,60,913,110,32,51,71,137,134,1.91652811049549,4.35590487346509,4.30748434656331,0.000736158187360673,0.236378019257682,-0.289651253161887
"32","GB46287",230,159,249,292,87,286,123,48,116,105,154,135,0.79939715672323,4.23415294916073,4.26342688565904,0.000801385136753246,0.236976783704682,-0.350854381869839
"33","GB46366",2582,1740,6089,5641,1385,2955,2798,6957,6846,13889,7135,8386,-1.35289366671762,9.169943310966,-4.25824041059828,0.000809444509338879,0.236976783704682,-0.435620574330507
"34","GB48980",996,919,1960,2244,442,1139,2092,1559,2197,2575,2099,1720,-0.969632616563853,7.58839769075021,-4.28565500436907,0.000767766216038005,0.236976783704682,-0.333577669771568
"35","GB52318",2368,498,1861,276,531,858,100,123,448,167,113,152,2.30436238808577,5.51730323577617,4.23819930786884,0.000841376328330671,0.239287427777243,-0.389120550007079
"36","GB42558",628,186,252,297,113,863,95,34,182,66,115,102,1.70821740376994,4.39902797160665,4.17465819301923,0.000951424630095675,0.255163443460826,-0.50571743499221
"37","GB49929",389,694,512,476,151,1344,96,97,251,352,195,232,1.27702272925557,5.25622526783746,4.18891843658672,0.000925506481888998,0.255163443460826,-0.467571595412761
"38","GB50226",71051,88772,99378,33759,40651,76425,16926,28309,14052,19438,11109,36991,1.61194115301406,12.1328540768391,4.15161094875236,0.000994895423257663,0.255163443460826,-0.768397073983688
"39","GB54611",12371,7307,12581,7506,5063,16503,3219,4033,5339,5963,4885,4413,0.947384214989643,9.71199489402079,4.14910852696762,0.000999736216091243,0.255163443460826,-0.631787505831226
"40","GB50423",80265,22270,44718,3922,33518,39227,4831,5106,4397,623,788,2295,3.5180482822751,9.96101727352555,4.09859147305426,0.0011027862616849,0.274428361220286,-0.729894789737764
"41","GB41270",1031,1101,1949,2178,746,2092,1678,1644,1909,1892,2357,2273,-0.58535234772566,7.71931828564615,-4.03471797370145,0.00124881347685879,0.276914650089209,-0.752812530519052
"42","GB45417",1448,951,1960,1184,754,2054,709,448,706,913,938,812,0.732717482830151,6.96775989045972,4.05768262965799,0.00119416289023039,0.276914650089209,-0.701925046275122
"43","GB51783",911,1091,1585,776,710,1391,1264,1316,1545,2604,3462,1847,-0.936876073710727,7.47292962185141,-4.0653021754771,0.00117657506547625,0.276914650089209,-0.6972880072736
