"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40625",121,91,130,98,213,138,67,101,43,44,69,72,1.30562396019211,3.79835334361026,5.66678286636071,6.19797095536191e-05,0.0282306296068431,2.04060839902734
"2","GB40794",602,530,341,315,465,371,254,279,157,151,361,306,1.13483038034614,5.62496503756424,6.1696900438404,2.62282789870611e-05,0.0282306296068431,2.84903417875053
"3","GB41179",109,69,68,65,113,94,27,40,14,9,37,78,1.8822287445248,2.90356572738753,5.9065593946002,4.09524146517809e-05,0.0282306296068431,2.37954560265729
"4","GB42433",238,159,198,182,335,307,252,145,52,112,123,147,1.12073826090135,4.71157120152665,5.96785051823483,3.68834972920209e-05,0.0282306296068431,2.52456287300947
"5","GB43295",93,72,53,34,68,59,14,37,8,4,20,31,2.26720944387461,2.24391010264435,6.17498039781286,2.59969261804179e-05,0.0282306296068431,2.67433577167496
"6","GB43937",44,26,35,26,61,40,13,14,8,12,17,26,1.67537354034415,1.85361115863278,6.70909405509872,1.08410109037694e-05,0.0282306296068431,3.3313602824149
"7","GB44316",80,53,92,67,116,80,41,27,13,35,49,63,1.44224013449338,3.01941799618259,5.6570379337751,6.30430110999671e-05,0.0282306296068431,2.00124816254024
"8","GB45020",27,22,21,24,36,18,10,12,3,3,11,19,1.78114259133753,1.15429749172636,5.60581726888838,6.89540450519609e-05,0.0282306296068431,1.64920005187301
"9","GB45101",236,226,228,195,470,273,234,181,51,119,141,225,1.12261618221765,4.89451022408186,5.67963018050263,6.0606469807077e-05,0.0282306296068431,2.04027641688389
"10","GB45139",222,210,91,72,121,131,48,51,31,29,78,104,1.64855339537429,3.66677096077247,5.53182371526274,7.85352835560465e-05,0.0282306296068431,1.81724202507744
"11","GB45157",301,247,181,174,240,174,135,58,105,97,132,125,1.37260694571824,4.53964804031628,6.29683766065084,2.12206350825894e-05,0.0282306296068431,3.05827474511489
"12","GB45486",31,29,20,15,34,24,8,12,5,3,17,13,1.79754073329069,1.20461988462802,5.94785996046855,3.81619186288817e-05,0.0282306296068431,2.13574509031785
"13","GB45911",917,570,574,570,720,573,314,271,153,141,452,511,1.53760681644423,6.02195807580783,6.44306547809935,1.66777783689513e-05,0.0282306296068431,3.28847084952598
"14","GB46102",262,165,253,231,441,384,191,168,66,139,156,189,1.21982860664211,4.9426849738936,5.88938682973845,4.21748583172253e-05,0.0282306296068431,2.39160638365969
"15","GB46547",43,31,25,17,41,16,16,16,5,6,13,17,1.53088118651058,1.45437102996016,5.59232909817686,7.06050220370649e-05,0.0282306296068431,1.70294111453524
"16","GB47091",101,93,64,43,138,80,17,73,10,7,20,51,2.21854465653005,2.70512775170219,5.54827405004018,7.62911726878627e-05,0.0282306296068431,1.80004113618321
"17","GB47229",54,34,25,25,48,41,17,17,11,13,28,30,1.30329329009703,2.01461762656816,5.87561209744158,4.31830257714784e-05,0.0282306296068431,2.22569606792699
"18","GB47962",180,115,107,74,151,120,34,76,26,20,51,95,1.77454540150776,3.48871665065638,6.05655353796831,3.1729273249747e-05,0.0282306296068431,2.65575989002368
"19","GB48151",673,645,396,372,433,288,193,289,157,119,237,273,1.47102528876303,5.53945988051255,5.66219127421636,6.24783581617672e-05,0.0282306296068431,2.00899477162614
"20","GB49927",80,52,56,47,91,57,56,43,18,27,33,58,1.04504877601394,2.88875276993015,5.72180172234402,5.63180939844845e-05,0.0282306296068431,2.09704510840682
"21","GB50043",713,530,483,326,597,344,311,380,132,133,238,367,1.30762681650235,5.70937776719407,5.65388440335118,6.33911728963634e-05,0.0282306296068431,1.99519538299707
"22","GB51391",58,68,45,41,98,41,46,35,15,17,42,36,1.18505795876908,2.65818165115024,5.56948323817749,7.3496274039696e-05,0.0282306296068431,1.83887967997928
"23","GB52679",98,68,58,55,120,79,26,56,16,14,32,61,1.67581144872126,2.89202088047038,6.03152431269899,3.31022855445327e-05,0.0282306296068431,2.57208047106377
"24","GB53387",56,64,35,29,81,41,12,38,6,8,11,17,2.19412439983899,1.96810093092448,6.85210128436372,8.6344070051769e-06,0.0282306296068431,3.52592960709606
"25","GB53721",191,131,157,142,249,160,101,136,59,61,113,136,1.10694225873854,4.29637159016891,5.71556650971419,5.69316097231223e-05,0.0282306296068431,2.1150408595477
"26","GB54432",287,193,143,211,348,217,116,157,66,54,142,204,1.30470467888921,4.6132340099698,5.73875607368596,5.46845775165101e-05,0.0282306296068431,2.14748692680536
"27","GB54758",200,138,101,74,183,93,109,70,44,28,44,94,1.38273898088526,3.72095253259572,5.55884669738645,7.48843157697984e-05,0.0282306296068431,1.86222342848024
"28","GB55054",117,68,88,85,122,89,43,43,28,26,47,78,1.45575848504656,3.27249096369642,6.49378782089634,1.53513562605056e-05,0.0282306296068431,3.3052040539011
"29","GB53318",353,316,376,299,274,337,205,160,129,114,236,83,1.49994248801926,5.07225384341588,5.50067204076222,8.29757927022565e-05,0.0287983225361452,1.73524642796192
"30","GB41339",167,304,241,262,180,360,66,60,156,44,58,66,2.24106457300817,4.32699010103966,5.41792775919116,9.60900049915121e-05,0.032114746519844,1.62009946002858
"31","GB42084",814,539,346,356,1010,735,2106,1537,621,1446,1302,1554,-0.917278054777827,7.09963988027852,-5.40166303168088,9.89127811341445e-05,0.032114746519844,1.59626230770122
"32","GB48685",80,48,44,36,57,46,36,21,13,26,30,53,1.14791689223996,2.5358662585351,5.30832766256411,0.000116872065297074,0.0345975687416191,1.41377757306986
"33","GB49131",213,119,118,82,144,106,42,73,40,23,65,108,1.57604101683339,3.64836609491149,5.32453987928413,0.000113524114763461,0.0345975687416191,1.47066679189507
"34","GB53316",138,100,106,93,121,131,115,60,39,48,81,110,0.950829448814094,3.79161024573874,5.32245257539783,0.00011394949514608,0.0345975687416191,1.46400761272926
"35","GB48684",76,51,79,36,93,51,40,54,9,22,34,28,1.39512561805998,2.67895643461972,5.25928368440599,0.000127640677691834,0.0347486149822591,1.34161018617534
"36","GB49896",208,159,109,133,188,158,166,138,51,80,110,166,0.778430531273338,4.33996956022792,5.25885354153916,0.000127739568240794,0.0347486149822591,1.33384743486577
"37","GB51014",250,149,144,137,337,257,186,143,51,107,160,203,0.891638551859864,4.64118815027956,5.28225643046768,0.000122473355745734,0.0347486149822591,1.36231468990181
"38","GB53636",129,106,47,83,239,72,488,422,102,499,437,340,-1.45393912960448,4.82921826046532,-5.20032138966913,0.000141969064627318,0.0376031219861567,1.23245700443089
"39","GB40012",373,226,90,137,164,119,57,91,38,30,78,136,1.70156984275581,3.98821871194101,5.11929252516796,0.000164443755238356,0.0400455720661481,1.11237565682518
