"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40608",1783,1552,1398,1407,728,1099,915,476,385,448,377,285,1.11990132310974,6.87092585500021,3.16511058234416,0.00714327323590008,0.999629541670631,-4.10240123627347
"2","GB41097",99,279,122,297,188,84,196,447,654,91,174,443,-1.23980671160827,5.00735184093613,-3.16473890794354,0.00714847476679359,0.999629541670631,-3.96889167949006
"3","GB41325",113,255,58,245,172,216,68,129,80,40,66,93,0.64199124856871,4.07403239595848,2.99475637167442,0.00996916547869665,0.999629541670631,-4.13339224293801
"4","GB41401",74,107,21,79,118,63,67,88,78,72,79,94,-0.591522517693332,3.51302252643351,-2.80896232620027,0.0143200923862675,0.999629541670631,-4.23880265789326
"5","GB41700",124,87,31,82,72,41,57,140,70,68,65,114,-0.742504428691095,3.5065122695929,-2.84101825860865,0.0134546857307533,0.999629541670631,-4.23327788350625
"6","GB42919",4451,2660,1146,3746,2394,3425,1264,1253,2005,772,952,790,0.855697164547311,8.07160019510001,3.40703288623991,0.00444767717926392,0.999629541670631,-4.1822844876547
"7","GB43119",814,1036,513,1090,941,921,527,969,396,215,248,222,0.823375150792115,6.44073278672475,3.05723872904339,0.00882272503771498,0.999629541670631,-4.07935504825757
"8","GB43435",50,60,26,101,69,66,24,37,27,20,23,35,0.635653503787408,2.62579897999028,2.94451112976503,0.0109970274312176,0.999629541670631,-4.31725732317291
"9","GB43577",12,19,5,18,9,17,1,5,6,0,6,4,1.63213337538512,-0.0609325486397929,3.29040171202978,0.00558872258241047,0.999629541670631,-4.46697467153762
"10","GB43921",218,359,124,281,278,274,142,212,175,98,87,163,0.344109840846455,4.83555478196248,2.78543837200634,0.0149896483108624,0.999629541670631,-4.09719269261394
"11","GB44328",37,48,10,16,80,27,38,100,33,28,46,89,-1.17240457755682,2.57464738560632,-3.04188678976035,0.0090916761125398,0.999629541670631,-4.3060327190869
"12","GB44634",2952,3055,1506,2457,2829,1702,2085,3667,2260,2648,2228,3148,-0.602454454499076,8.57711277086802,-2.85564026628763,0.0130771909653388,0.999629541670631,-4.30614017613582
"13","GB45170",1305,968,562,955,881,650,334,356,822,167,318,179,1.03591991646381,6.32098289075968,3.17223691910298,0.00704426775927776,0.999629541670631,-4.04360403121095
"14","GB45674",14,16,8,17,23,19,4,6,7,3,6,8,0.976808571602157,0.584156814650828,3.54227617593631,0.00341428476984866,0.999629541670631,-4.42349547905275
"15","GB45861",835,317,564,373,888,843,176,103,215,54,504,170,1.50751571075219,5.58047585552617,2.98512954124698,0.0101584560336032,0.999629541670631,-4.06705770580017
"16","GB45862",278,249,137,277,334,269,151,187,142,92,139,133,0.411793711914354,4.84227163946749,2.72590875058147,0.0168238204397339,0.999629541670631,-4.11614108640213
"17","GB46310",99,230,66,652,587,355,112,126,122,26,30,54,1.42892644995745,4.28341888639732,2.73579993556255,0.0165045613515328,0.999629541670631,-4.20331160780378
"18","GB46946",11,17,8,12,8,12,2,7,4,4,5,4,0.866309166714878,0.165980440371666,2.81017557046017,0.0142863664951518,0.999629541670631,-4.48719083232724
"19","GB47323",148,122,65,152,128,145,87,76,53,41,56,50,0.603443953541699,3.71744151160675,3.13654068092089,0.00755431196078414,0.999629541670631,-4.15191045367744
"20","GB47808",402,442,178,469,378,419,257,328,200,137,148,227,0.373242440970715,5.4095866607646,2.79029688748167,0.0148488958627286,0.999629541670631,-4.07794946259197
"21","GB47901",259,310,143,302,276,290,138,167,145,109,112,203,0.401199288062546,4.88496778619917,3.12586198743118,0.00771392381415145,0.999629541670631,-3.99572470528389
"22","GB48144",75,100,32,78,83,73,37,53,40,28,31,48,0.409518829316684,3.01569141877631,2.90434621798004,0.0118933356497601,0.999629541670631,-4.28201199293168
"23","GB48330",28,36,10,65,80,88,15,26,21,5,11,12,1.14483457720482,1.88837213713563,2.69775282316925,0.0177659420843618,0.999629541670631,-4.41314383636858
"24","GB48790",2267,2390,760,2158,1988,1361,505,1123,1887,403,458,329,0.990794807818896,7.32685453773416,2.83919666903787,0.0135024567819312,0.999629541670631,-4.21747741299223
"25","GB48875",1769,38,58,175,415,68,328,598,325,1342,1229,858,-2.55154020462655,5.68235880496577,-2.87652817328542,0.0125559233962598,0.999629541670631,-4.10804111794453
"26","GB49503",29,24,12,39,29,36,18,13,23,3,5,5,1.05014350550142,1.28673852120173,2.80795187799952,0.0143482404829759,0.999629541670631,-4.43733553930435
"27","GB49504",957,1341,632,2420,1928,1698,728,551,1183,221,374,316,1.06816469006187,6.96926913740031,3.14634683973228,0.00741063991907672,0.999629541670631,-4.11669012414366
"28","GB49626",412,675,233,630,940,954,147,457,570,110,108,169,1.0064465159476,5.73855945283777,2.81935990311268,0.0140335730527203,0.999629541670631,-4.09904799729169
"29","GB49627",121,104,43,125,121,149,49,64,61,46,37,50,0.597890084129134,3.49025143036964,3.15718354829572,0.00725503320907435,0.999629541670631,-4.17985014487664
"30","GB49692",89,148,59,109,99,103,64,72,54,34,45,48,0.465011258899011,3.46263840369533,3.29995569640443,0.00548511003519044,0.999629541670631,-4.15579989913223
"31","GB49753",1100,371,388,99,458,249,97,86,116,20,240,25,1.8926044627988,4.60062526838849,2.81114703886906,0.0142594176568263,0.999629541670631,-4.17994383931405
"32","GB50730",334,598,139,352,435,320,397,406,413,373,326,352,-0.63459452004718,5.77639051340879,-4.11526755499804,0.00112607622388484,0.999629541670631,-3.72106667632775
"33","GB51076",20,32,10,26,33,36,11,9,17,4,9,11,0.881961307008098,1.27304294480521,3.23647283413719,0.00621142524850059,0.999629541670631,-4.39952924508596
"34","GB51092",49,45,19,44,51,69,25,22,20,18,16,24,0.621187465383809,2.23103110149861,2.78807913703891,0.0149129834127121,0.999629541670631,-4.37290968706027
"35","GB51256",166,257,91,212,156,114,131,179,180,131,140,178,-0.424000954115482,4.59317042108109,-2.68499676672114,0.0182095037184206,0.999629541670631,-4.13280405400169
"36","GB51632",272,289,126,366,286,313,137,154,203,107,108,189,0.413027189259619,4.918383229898,2.71547407466511,0.0171671510598325,0.999629541670631,-4.11463663612851
"37","GB51836",237,220,88,250,228,225,130,151,93,69,104,123,0.429520345606238,4.5030519735529,2.74096676593673,0.0163401499260543,0.999629541670631,-4.1410563340211
"38","GB51840",75,84,51,56,68,42,49,108,157,30,165,288,-1.25502768281836,3.62463431201488,-2.77953971733892,0.0151622899591746,0.999629541670631,-4.23388987649781
"39","GB52829",3750,4881,1866,2006,3579,2376,2164,4157,3815,3367,4600,4214,-0.772686639455308,8.96551177146551,-2.85453195663591,0.0131054358719039,0.999629541670631,-4.33060350934853
"40","GB53015",600,727,155,622,530,341,470,570,675,313,350,800,-0.630328822869505,6.18908567695098,-2.93613567246374,0.0111782584329347,0.999629541670631,-4.07175489345159
"41","GB53148",168,169,81,356,82,72,21,91,86,2,16,9,2.1098997391055,2.98696362112616,3.22939717696785,0.0062981185184975,0.999629541670631,-4.26728244929745
"42","GB53268",63,121,39,68,96,77,33,51,63,25,30,20,0.636075677363652,2.96367812404761,2.76576968371964,0.0155729179041761,0.999629541670631,-4.3121539324231
"43","GB53331",51,60,18,41,29,42,18,17,25,14,18,10,0.755515379544778,1.96925508258014,3.00662023796083,0.00974068363265996,0.999629541670631,-4.36858582271995
"44","GB54255",345,463,204,401,383,519,181,325,255,168,171,175,0.412026486443026,5.41816800013217,2.87165560705202,0.0126756626641144,0.999629541670631,-4.05384292528745
"45","GB54289",2,10,5,5,8,4,4,22,8,7,6,12,-1.16828286618317,0.130765081343983,-2.79848868750612,0.0146145024641197,0.999629541670631,-4.48677378852303
"46","GB54473",17,55,10,16,22,11,22,26,27,26,24,24,-0.820350588237718,1.75104631841482,-2.7529840992328,0.0159639130487983,0.999629541670631,-4.40759898689185
"47","GB55367",74,134,35,72,102,72,75,89,89,52,81,109,-0.511291389702552,3.60014418694654,-2.95561437489467,0.0107612361447773,0.999629541670631,-4.19645072462389
"48","GB55630",18,60,5,94,22,28,2,10,7,10,8,12,1.48268817134661,1.15814693827355,2.73183670212722,0.0166317669297441,0.999629541670631,-4.45253362368666
"49","GB55787",205,333,89,257,189,201,142,160,120,83,90,111,0.347868952065111,4.54452632906082,2.68785356864969,0.0181092379244625,0.999629541670631,-4.14966778089092
"50","GB55946",106,147,52,120,120,156,56,73,71,46,49,67,0.457293259529681,3.65605286747916,3.22010476605532,0.00641381177065586,0.999629541670631,-4.14118837455368
