"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB41523-RA",168,40,62,450,338,176,186.967205436948,-2.08588920609403,0.488313931015924,-4.2716151917976,1.94062239515796e-05,0.228314224790334
"2","gnl|Amel_4.5|GB51996-RA",281,10,90,15,8,1,42.0996505479048,3.51884119431418,0.897846688908926,3.91920050247143,8.8843184769401e-05,0.348413356270668
"3","gnl|Amel_4.5|GB53336-RA",66,10,14,136,298,43,81.1118226386503,-2.79065332344017,0.699542995851273,-3.98925204024697,6.62819655712891e-05,0.348413356270668
"4","gnl|Amel_4.5|GB49987-RA",509,12,66,14,16,6,54.8729780946688,3.13610951836985,0.831595184683875,3.77119730384445,0.000162466149008873,0.477853560772347
"5","gnl|Amel_4.5|GB47538-RA",415,26,120,22,27,15,69.032752029731,2.4786974096074,0.671158883372934,3.69316039914515,0.000221484223677315,0.521152378312723
"6","gnl|Amel_4.5|GB45598-RA",17,2,7,85,49,19,25.7013730763863,-2.83440020596833,0.778607240171912,-3.64034658262683,0.000272271300417187,0.533878641568035
"7","gnl|Amel_4.5|GB45711-RA",53,9,21,144,129,41,57.6359695338177,-2.18093107392341,0.606559278553164,-3.5955777959998,0.000323672380934612,0.544000794527958
"8","gnl|Amel_4.5|GB40241-RA",20,9,7,0,0,0,5.54342906831044,5.87863445817068,1.76256832922331,3.33526613448295,0.00085217799675242,0.717108169616928
"9","gnl|Amel_4.5|GB41263-RA",55,15,67,5,0,5,23.5000741082105,3.55757220596166,1.06487509123782,3.34083521648188,0.000835267811704623,0.717108169616928
"10","gnl|Amel_4.5|GB41903-RA",149,29,71,16,14,11,39.7369066421316,2.26387138230582,0.651631128102168,3.47416089360125,0.000512453652232443,0.717108169616928
"11","gnl|Amel_4.5|GB44017-RA",6,2,4,29,30,20,15.0672988092852,-2.94319373132422,0.905269897276266,-3.25117817369115,0.00114927808578467,0.717108169616928
"12","gnl|Amel_4.5|GB44780-RA",443,40,114,36,20,26,77.8161630387656,2.17735132603581,0.64134619323341,3.39497037482748,0.000686360269703489,0.717108169616928
"13","gnl|Amel_4.5|GB45750-RA",6,2,2,33,25,14,12.8321881761249,-3.09234582813864,0.951782870356283,-3.24900344863433,0.0011581007414128,0.717108169616928
"14","gnl|Amel_4.5|GB47332-RA",186,0,23,2,1,0,16.7550485058046,5.24137006032659,1.53871154819682,3.40633698789667,0.000658408557780718,0.717108169616928
"15","gnl|Amel_4.5|GB50820-RA",52,26,17,186,248,44,85.2330605137157,-2.26440960757719,0.69083261149857,-3.27779779050266,0.00104620312006895,0.717108169616928
"16","gnl|Amel_4.5|GB52088-RA",120,25,33,236,215,72,101.386847325918,-1.84178074295527,0.54194426361503,-3.39846893233947,0.000677641589775077,0.717108169616928
"17","gnl|Amel_4.5|GB52603-RA",453,261,85,1607,1498,607,705.149379845948,-2.15939693222648,0.664352472991391,-3.25037840606407,0.00115251542051344,0.717108169616928
"18","gnl|Amel_4.5|GB53387-RA",13,4,3,33,63,18,20.6272174508958,-2.78216584689211,0.838345462505464,-3.3186388801788,0.000904573280785725,0.717108169616928
"19","gnl|Amel_4.5|GB56009-RA",681,96,196,754,839,453,447.778544601939,-1.56647418193437,0.478317698201331,-3.27496596472376,0.00105674704365139,0.717108169616928
"20","gnl|Amel_4.5|GB40165-RA",14,3,6,52,56,13,20.9523908138812,-2.58395581950891,0.806479657045713,-3.20399379815038,0.0013553539622272,0.733237224918003
"21","gnl|Amel_4.5|GB50761-RA",186,40,75,25,19,17,49.8531177041789,1.94601147965563,0.606627027577982,3.20792083304509,0.00133698296111538,0.733237224918003
"22","gnl|Amel_4.5|GB52707-RA",4,0,0,48,27,2,10.5643860174127,-4.75408019596313,1.48534245404575,-3.20066270442486,0.00137111933261335,0.733237224918003
"23","gnl|Amel_4.5|GB50501-RA",58,0,2,210,174,8,56.9730320217309,-3.58526644177909,1.13929519337734,-3.14691614835211,0.00165002273412664,0.824395641307268
"24","gnl|Amel_4.5|GB51292-RA",735,117,122,1094,838,317,448.399751779578,-1.64784321844704,0.524565763098544,-3.14134725208415,0.0016817250651402,0.824395641307268
"25","gnl|Amel_4.5|GB42931-RA",2247,67,402,128,155,59,297.556696233174,2.18104689484995,0.702389663567399,3.10518079632968,0.00190162749734058,0.832305079040815
"26","gnl|Amel_4.5|GB43733-RA",220,33,109,14,10,23,55.4535261128398,2.35088369366018,0.754955741544132,3.113935777019,0.00184609668718531,0.832305079040815
"27","gnl|Amel_4.5|GB48269-RA",97,35,31,304,200,66,107.353408634654,-1.85569857959819,0.597866674259546,-3.10386689791074,0.00191009240408857,0.832305079040815
"28","gnl|Amel_4.5|GB44530-RA",181,31,47,19,24,8,38.667681836762,1.94770798614059,0.638501642054072,3.050435359688,0.00228509862988819,0.960149477879805
"29","gnl|Amel_4.5|GB43266-RA",998,335,258,1833,1740,689,882.248292785199,-1.5755312109455,0.520959915084824,-3.02428491199552,0.00249221613619861,0.976305246030858
