"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40472",6,7,11,12,0,1,8,4,10,5,12,24,-1.40897584966455,-0.0495274321459242,-2.56059435687107,0.0230963612254346,0.999870499199616,-4.50860070017212
"2","GB40635",588,660,341,376,411,244,186,142,188,315,216,243,0.742177621275513,5.50675211707804,2.76667083260643,0.0155106258115691,0.999870499199616,-4.09541487010813
"3","GB40686",356,302,275,417,188,219,398,317,235,235,357,563,-0.514700660288602,5.57276097500031,-2.51453197667005,0.0252288996835607,0.999870499199616,-4.16265821294518
"4","GB40697",3385,20974,4644,2121,4296,1780,8100,4671,9770,4758,19786,13656,-1.32446729293978,9.87603754953651,-2.87654891524121,0.012524058265737,0.999870499199616,-4.37201070409428
"5","GB40734",61,93,85,52,43,49,98,63,48,48,104,115,-0.563258311521555,3.39514453447956,-2.51598310090391,0.0251589152182219,0.999870499199616,-4.3161353771915
"6","GB40810",214,239,184,255,102,160,187,143,188,129,262,375,-0.386695393762738,4.8947720096576,-2.76283349208579,0.0156266485780817,0.999870499199616,-4.0935895092085
"7","GB41981",554,188,433,297,147,147,2569,1005,129,344,313,2172,-1.64648112877018,5.98842479060824,-2.5183857994464,0.0250434489103972,0.999870499199616,-4.19724355956608
"8","GB42552",78,29,11,28,10,9,64,19,30,21,60,37,-1.01804294811373,2.05446092791386,-2.48222256213601,0.0268364630141354,0.999870499199616,-4.42457442259471
"9","GB42556",713,783,455,748,202,156,1107,564,567,598,455,778,-0.954228446872266,6.34710366338995,-2.8270750510807,0.0137916018014653,0.999870499199616,-4.12084032430356
"10","GB42557",1548,695,756,1328,280,181,1648,893,739,799,818,1601,-1.0664956376184,6.93974584433471,-2.50817576880679,0.0255376578075556,0.999870499199616,-4.25763264666406
"11","GB42571",646,1007,824,1285,468,436,1263,630,681,684,844,1682,-0.599127737643042,6.96016198069736,-2.65188372562026,0.0193726055052551,0.999870499199616,-4.22269966348775
"12","GB42920",179,149,116,117,91,115,191,161,100,106,182,256,-0.614283446604418,4.44293087769053,-2.66537385386629,0.0188742482304483,0.999870499199616,-4.16330529721835
"13","GB42962",6,2,18,12,4,2,27,15,7,8,12,13,-1.39141389254928,0.431203379451513,-2.4880108506451,0.0265414093346605,0.999870499199616,-4.49933491277753
"14","GB43732",34,49,37,57,19,61,21,11,25,17,21,37,0.651343461329674,2.17708183277674,2.53320529622817,0.0243424640054984,0.999870499199616,-4.41159637922916
"15","GB45380",598,402,460,533,239,246,668,490,342,333,459,894,-0.636495573072088,6.09044098030076,-2.5368907138184,0.0241710941376941,0.999870499199616,-4.18123472731027
"16","GB45438",23,25,27,24,17,14,5,5,8,13,16,20,0.757939143511787,1.20431370033119,2.54688371679461,0.0237122544983458,0.999870499199616,-4.46410823845237
"17","GB45663",68,64,74,108,18,31,61,66,56,43,118,139,-0.744288454150809,3.26906277301657,-2.71036352750653,0.0173007027907482,0.999870499199616,-4.29200446733728
"18","GB45709",54,93,64,78,37,51,40,19,34,34,57,49,0.424127299745603,2.87763756241113,2.60623625602053,0.021155426395137,0.999870499199616,-4.34827009896997
"19","GB45776",433,646,433,436,215,369,399,379,448,318,505,538,-0.363469989598956,5.99782030341938,-2.79938344581348,0.0145551651360413,0.999870499199616,-4.09461491769042
"20","GB46320",27,67,30,33,20,30,16,7,20,18,25,20,0.660524662717511,1.86415129571071,2.83571425059554,0.0135615280506184,0.999870499199616,-4.39642405866436
"21","GB46484",10,11,4,11,3,2,7,4,10,7,16,17,-0.900588374158901,0.247217253414113,-2.66001174990894,0.0190708276696352,0.999870499199616,-4.49325531111274
"22","GB46595",78,116,67,107,66,68,102,89,84,60,125,190,-0.611069563337778,3.82030134053052,-3.20396022786307,0.00659815449232601,0.999870499199616,-4.11695678461759
"23","GB47079",799,965,740,732,538,241,1228,1107,969,600,761,782,-0.84083198177153,6.83213368452345,-2.59664438446425,0.0215497619569186,0.999870499199616,-4.22566790944556
"24","GB47133",29,21,47,14,13,11,52,46,28,36,34,27,-1.07123103211483,2.07162115615104,-2.68755144257303,0.0180819129327888,0.999870499199616,-4.3986634999008
"25","GB47270",144,83,284,398,34,68,545,116,385,570,322,417,-1.7664195408436,4.99793696681766,-3.61089749205232,0.00297327930142136,0.999870499199616,-3.9020185672812
"26","GB47566",429,685,462,453,212,275,287,177,209,193,369,378,0.33142724337607,5.61674579521611,2.47578536969225,0.0271682906399432,0.999870499199616,-4.18000741877542
"27","GB47600",6,6,5,7,9,10,14,8,8,13,16,14,-1.05269788051139,0.564656068081321,-3.01811719116197,0.00949731251595592,0.999870499199616,-4.45667626792757
"28","GB47833",12,13,12,10,6,10,5,0,7,2,3,9,1.32531008040643,-0.0875446561671948,2.8902790993204,0.0121930677852668,0.999870499199616,-4.49080667006781
"29","GB47905",462,581,379,401,185,285,713,636,455,297,405,666,-0.796774451294914,6.04249125270182,-3.2762695224588,0.00572565703059085,0.999870499199616,-3.96660979768872
"30","GB48110",112,35,26,59,6,22,43,59,100,94,99,54,-1.33744019704834,2.86772338324072,-3.0391328043948,0.00911449634493633,0.999870499199616,-4.28387088672864
"31","GB48557",242,275,211,217,73,96,230,111,172,161,305,412,-0.588390900680344,4.86218048610124,-2.9424013464434,0.0110131713028681,0.999870499199616,-4.043651232475
"32","GB48584",16,27,17,19,17,21,9,7,10,5,20,7,0.774162175142253,1.06210446058166,2.64047103121981,0.0198041736809086,0.999870499199616,-4.46262593507939
"33","GB48746",31,39,27,23,13,29,16,10,9,12,20,18,0.631896242356641,1.56902477832958,2.69708527751602,0.0177513317573165,0.999870499199616,-4.4298085803282
"34","GB48773",20,19,13,15,11,12,20,10,22,10,28,26,-0.602623284410235,1.36604696108695,-2.73039930766794,0.0166417700739682,0.999870499199616,-4.43624530599011
"35","GB49246",159,296,127,169,85,87,94,57,115,60,122,71,0.520073044767554,4.06258086671743,2.57107805324466,0.0226358689651733,0.999870499199616,-4.23622425199271
"36","GB49577",2,12,6,5,1,7,8,5,9,11,10,8,-1.06735651938702,0.00782748726127079,-2.73847637036595,0.0163831134081259,0.999870499199616,-4.49634662764897
"37","GB51407",23,34,14,22,12,15,8,4,9,12,17,10,0.72336713568816,1.08000240180476,2.76942971896852,0.0154277311380602,0.999870499199616,-4.45047110436243
"38","GB52649",61,43,52,74,29,71,102,82,41,67,73,115,-0.792599584186764,3.29906017415047,-2.49619194929529,0.0261296909938927,0.999870499199616,-4.33000684550713
"39","GB52654",25,11,21,20,8,14,32,22,12,26,40,51,-1.12696031085641,1.70965440945319,-3.13791679641988,0.00751050400200034,0.999870499199616,-4.37541351289445
"40","GB52909",13,2,8,10,4,2,20,12,8,8,12,15,-1.40260162304758,0.375091022534371,-2.90388436305817,0.0118735850151551,0.999870499199616,-4.47371365993605
"41","GB53261",39,28,25,100,10,8,119,17,65,142,55,68,-1.53665754531943,2.64408532335792,-2.86352933844878,0.0128460735579801,0.999870499199616,-4.33377257363003
"42","GB53449",30,29,30,23,12,15,18,7,12,8,14,15,0.607675586610817,1.3529046925043,2.56398141847618,0.0229466058102823,0.999870499199616,-4.45452989236778
"43","GB53731",32,27,32,38,15,33,39,17,27,28,58,62,-0.618659992613617,2.30624056784382,-2.57455129963883,0.0224852725718959,0.999870499199616,-4.39496743555811
"44","GB53743",39,85,37,31,14,42,14,7,30,18,20,18,0.888652627217425,1.94545236737057,2.97179673265979,0.01039818552916,0.999870499199616,-4.376897072659
"45","GB53780",22,33,13,17,11,26,26,13,25,29,44,37,-0.799577093973091,1.84285671849885,-3.20038422381441,0.00664459516039724,0.999870499199616,-4.35638216748156
"46","GB54095",117,208,133,112,63,67,78,41,83,43,92,84,0.425090732894475,3.7189353106704,2.48466378866477,0.0267116414235672,0.999870499199616,-4.29231371609566
"47","GB54369",1132,1357,1116,1241,489,643,1467,963,1025,621,1171,1548,-0.508093956154752,7.28347426098001,-2.6847963655004,0.0181785545843879,0.999870499199616,-4.24302461041095
"48","GB54423",934,1292,1147,816,431,613,1892,875,677,542,1239,1653,-0.625064018319615,7.15403562122979,-2.47323559084803,0.0273008132014417,0.999870499199616,-4.28151315778884
"49","GB55016",4880,9512,4429,6667,3265,4839,2774,1814,2739,2952,5783,2679,0.574940558977751,9.24771080965267,2.66302865802387,0.018959981737853,0.999870499199616,-4.36941716387535
"50","GB55429",126,290,176,160,129,119,89,57,115,71,151,89,0.515712684091808,4.21826581560397,2.71292767254267,0.0172149755165372,0.999870499199616,-4.18352652327241
